t,T
0.022,2404.233742
0.0221,2402.833162
0.0222,2401.444559
0.0223,2400.067849
0.0224,2398.702946
0.0225,2397.349766
0.0226,2396.008223
0.0227,2394.678235
0.0228,2393.359717
0.0229,2392.052584
0.023,2390.756671
0.0231,2389.47138
0.0232,2388.195829
0.0233,2386.929248
0.0234,2385.670928
0.0235,2384.420247
0.0236,2383.176676
0.0237,2381.939787
0.0238,2380.709232
0.0239,2379.484735
0.024,2378.266071
0.0241,2377.053058
0.0242,2375.845543
0.0243,2374.6434
0.0244,2373.446518
0.0245,2372.254804
0.0246,2371.068172
0.0247,2369.886548
0.0248,2368.709862
0.0249,2367.538053
0.025,2366.371061
0.0251,2365.208834
0.0252,2364.051321
0.0253,2362.898473
0.0254,2361.750247
0.0255,2360.606599
0.0256,2359.467489
0.0257,2358.332877
0.0258,2357.202727
0.0259,2356.077002
0.026,2354.955668
0.0261,2353.838692
0.0262,2352.726044
0.0263,2351.617698
0.0264,2350.513632
0.0265,2349.413828
0.0266,2348.318269
0.0267,2347.22694
0.0268,2346.139829
0.0269,2345.056921
0.027,2343.978205
0.0271,2342.903669
0.0272,2341.833301
0.0273,2340.767089
0.0274,2339.705024
0.0275,2338.647092
0.0276,2337.593284
0.0277,2336.543589
0.0278,2335.497995
0.0279,2334.456492
0.028,2333.419068
0.0281,2332.385714
0.0282,2331.356418
0.0283,2330.331171
0.0284,2329.309961
0.0285,2328.292778
0.0286,2327.279612
0.0287,2326.270453
0.0288,2325.26529
0.0289,2324.264113
0.029,2323.266913
0.0291,2322.273679
0.0292,2321.284401
0.0293,2320.299069
0.0294,2319.317674
0.0295,2318.340206
0.0296,2317.366656
0.0297,2316.397014
0.0298,2315.431269
0.0299,2314.469414
0.03,2313.511439
0.0301,2312.557334
0.0302,2311.607091
0.0303,2310.660699
0.0304,2309.718152
0.0305,2308.779438
0.0306,2307.84455
0.0307,2306.91348
0.0308,2305.986217
0.0309,2305.062755
0.031,2304.143083
0.0311,2303.227195
0.0312,2302.315081
0.0313,2301.406734
0.0314,2300.502146
0.0315,2299.601325
0.0316,2298.704453
0.0317,2297.812248
0.0318,2296.925473
0.0319,2296.04458
0.032,2295.169958
0.0321,2294.301898
0.0322,2293.440595
0.0323,2292.586165
0.0324,2291.73867
0.0325,2290.898129
0.0326,2290.064535
0.0327,2289.237865
0.0328,2288.418083
0.0329,2287.605149
0.033,2286.799017
0.0331,2285.999639
0.0332,2285.206966
0.0333,2284.420947
0.0334,2283.641531
0.0335,2282.86867
0.0336,2282.102311
0.0337,2281.342404
