t,T
4700,299.97
4710,299.97
4720,299.97
4730,299.97
4740,299.97
4750,299.97
4760,299.97
4770,299.97
4780,299.97
4790,299.97
4800,299.97
4810,299.97
4820,299.97
4830,299.97
4840,299.971
4850,299.971
4860,299.971
4870,299.971
4880,299.971
4890,299.971
4900,299.971
4910,299.971
4920,299.971
4930,299.971
4940,299.971
4950,299.971
4960,299.971
4970,299.971
4980,299.971
4990,299.972
5000,299.972
5010,299.972
5020,299.972
5030,299.972
5040,299.972
5050,299.972
5060,299.972
5070,299.972
5080,299.972
5090,299.972
5100,299.972
5110,299.972
5120,299.972
5130,299.972
5140,299.972
5150,299.973
5160,299.973
5170,299.973
5180,299.973
5190,299.973
5200,299.973
5210,299.973
5220,299.973
5230,299.973
5240,299.973
5250,299.973
5260,299.973
5270,299.973
5280,299.973
5290,299.973
5300,299.973
5310,299.974
5320,299.974
5330,299.974
5340,299.974
5350,299.974
5360,299.974
5370,299.974
5380,299.974
5390,299.974
5400,299.974
5410,299.974
5420,299.974
5430,299.974
5440,299.974
5450,299.974
5460,299.974
5470,299.974
5480,299.975
5490,299.975
5500,299.975
5510,299.975
5520,299.975
5530,299.975
5540,299.975
5550,299.975
5560,299.975
5570,299.975
5580,299.975
5590,299.975
5600,299.975
5610,299.975
5620,299.975
5630,299.975
5640,299.975
5650,299.975
5660,299.976
5670,299.976
5680,299.976
5690,299.976
5700,299.976
5710,299.976
5720,299.976
5730,299.976
5740,299.976
5750,299.976
5760,299.976
5770,299.976
5780,299.976
5790,299.976
5800,299.976
5810,299.976
5820,299.976
5830,299.976
5840,299.977
5850,299.977
5860,299.977
5870,299.977
5880,299.977
5890,299.977
5900,299.977
5910,299.977
5920,299.977
5930,299.977
5940,299.977
5950,299.977
5960,299.977
5970,299.977
5980,299.977
5990,299.977
6000,299.977
6010,299.977
6020,299.977
6030,299.978
6040,299.978
6050,299.978
6060,299.978
6070,299.978
6080,299.978
6090,299.978
6100,299.978
6110,299.978
6120,299.978
6130,299.978
6140,299.978
6150,299.978
6160,299.978
6170,299.978
6180,299.978
6190,299.978
6200,299.978
6210,299.978
6220,299.978
6230,299.979
6240,299.979
6250,299.979
6260,299.979
6270,299.979
6280,299.979
6290,299.979
6300,299.979
6310,299.979
6320,299.979
6330,299.979
6340,299.979
6350,299.979
6360,299.979
6370,299.979
6380,299.979
6390,299.979
6400,299.979
6410,299.979
6420,299.979
6430,299.979
6440,299.98
6450,299.98
6460,299.98
6470,299.98
6480,299.98
6490,299.98
6500,299.98
6510,299.98
6520,299.98
6530,299.98
6540,299.98
6550,299.98
6560,299.98
6570,299.98
6580,299.98
6590,299.98
6600,299.98
6610,299.98
6620,299.98
6630,299.98
6640,299.98
6650,299.98
6660,299.98
6670,299.981
6680,299.981
6690,299.981
6700,299.981
6710,299.981
6720,299.981
6730,299.981
6740,299.981
6750,299.981
6760,299.981
6770,299.981
6780,299.981
6790,299.981
6800,299.981
6810,299.981
6820,299.981
6830,299.981
6840,299.981
6850,299.981
6860,299.981
6870,299.981
6880,299.981
6890,299.981
6900,299.982
6910,299.982
6920,299.982
6930,299.982
6940,299.982
6950,299.982
6960,299.982
6970,299.982
6980,299.982
6990,299.982
7000,299.982
7010,299.982
7020,299.982
7030,299.982
7040,299.982
7050,299.982
7060,299.982
7070,299.982
7080,299.982
7090,299.982
7100,299.982
7110,299.982
7120,299.982
7130,299.982
7140,299.983
7150,299.983
7160,299.983
7170,299.983
7180,299.983
7190,299.983
7200,299.983
7210,299.983
7220,299.983
7230,299.983
7240,299.983
7250,299.983
7260,299.983
7270,299.983
7280,299.983
7290,299.983
7300,299.983
7310,299.983
7320,299.983
7330,299.983
7340,299.983
7350,299.983
7360,299.983
7370,299.983
7380,299.983
7390,299.983
7400,299.984
7410,299.984
7420,299.984
7430,299.984
7440,299.984
7450,299.984
7460,299.984
7470,299.984
7480,299.984
7490,299.984
7500,299.984
7510,299.984
7520,299.984
7530,299.984
7540,299.984
7550,299.984
7560,299.984
7570,299.984
7580,299.984
7590,299.984
7600,299.984
7610,299.984
7620,299.984
7630,299.984
7640,299.984
7650,299.984
7660,299.984
7670,299.984
7680,299.985
7690,299.985
7700,299.985
7710,299.985
7720,299.985
7730,299.985
7740,299.985
7750,299.985
7760,299.985
7770,299.985
7780,299.985
7790,299.985
7800,299.985
7810,299.985
7820,299.985
7830,299.985
7840,299.985
7850,299.985
7860,299.985
7870,299.985
7880,299.985
7890,299.985
7900,299.985
7910,299.985
7920,299.985
7930,299.985
7940,299.985
7950,299.985
7960,299.985
7970,299.986
7980,299.986
7990,299.986
8000,299.986
8010,299.986
8020,299.986
8030,299.986
8040,299.986
8050,299.986
8060,299.986
8070,299.986
8080,299.986
8090,299.986
8100,299.986
8110,299.986
8120,299.986
8130,299.986
8140,299.986
8150,299.986
8160,299.986
8170,299.986
8180,299.986
8190,299.986
8200,299.986
8210,299.986
8220,299.986
8230,299.986
8240,299.986
8250,299.986
8260,299.986
8270,299.986
8280,299.987
8290,299.987
8300,299.987
8310,299.987
8320,299.987
8330,299.987
8340,299.987
8350,299.987
8360,299.987
8370,299.987
8380,299.987
8390,299.987
8400,299.987
8410,299.987
8420,299.987
8430,299.987
8440,299.987
8450,299.987
8460,299.987
8470,299.987
8480,299.987
8490,299.987
8500,299.987
8510,299.987
8520,299.987
8530,299.987
8540,299.987
8550,299.987
8560,299.987
8570,299.987
8580,299.987
8590,299.987
8600,299.987
8610,299.987
8620,299.988
8630,299.988
8640,299.988
8650,299.988
8660,299.988
8670,299.988
8680,299.988
8690,299.988
8700,299.988
8710,299.988
8720,299.988
8730,299.988
8740,299.988
8750,299.988
8760,299.988
8770,299.988
8780,299.988
8790,299.988
